GEOID,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M
g361031465002,56,11,51,11,11,11,11,11
g361031465003,100,11,38,11,11,11,11,11
g361031465004,78,11,32,35,11,11,11,11
g361031466041,43,51,11,32,76,81,69,27
g361031466042,77,11,11,11,11,13,11,11
g361031466043,54,11,11,11,11,11,12,11
g361031466051,22,7,15,11,11,11,11,11
g361031466061,88,11,11,11,11,11,11,11
g361031466062,94,22,89,11,11,11,11,70
g361031466063,115,11,50,20,62,23,11,20
g361031466064,124,41,66,66,11,27,11,24
g361031466071,34,29,11,11,11,11,11,16
g361031466072,70,11,19,43,82,66,9,53
g361031466081,71,10,28,23,53,38,31,28
g361031466082,67,9,5,16,75,53,11,23
g361031466111,55,54,36,26,72,71,52,24
g361031466112,63,33,16,21,11,11,11,10
g361031466121,62,16,11,11,11,11,11,11
g361031466122,101,36,25,11,11,11,41,11
g361031466123,91,11,40,11,11,11,11,11
g361031466131,66,16,36,11,11,11,9,11
g361031466132,64,20,46,11,11,11,12,11
g361031466141,100,59,11,75,73,11,11,11
g361031466142,74,11,11,11,11,11,11,11
g361031466143,83,96,28,95,76,39,11,11
g361031466151,68,55,11,11,7,11,11,11
g361031466152,61,54,11,18,54,59,32,21
g361031466153,39,40,35,37,95,51,93,66
g361031467031,110,15,14,11,11,11,11,11
g361031467032,98,11,18,15,11,11,11,11
g361031467041,18,11,11,11,11,11,11,5
g361031467051,62,11,11,11,11,11,11,11
g361031467052,61,11,11,11,11,11,11,11
g361031467061,53,11,11,11,11,11,11,11
g361031467062,55,11,14,7,11,11,11,11
g361031468001,107,13,27,11,11,11,23,11
g361031468002,99,11,11,11,11,11,11,11
g361031468003,98,11,11,11,11,11,11,11
g361031468004,54,11,11,11,11,11,11,11
g361031469011,83,42,11,56,13,11,11,11
g361031469012,80,11,22,11,11,11,11,11
g361031469013,49,33,11,11,11,11,11,11
g361031469014,48,28,11,11,9,11,11,11
g361031469021,76,11,11,11,14,11,11,11
g361031469022,83,11,11,11,11,11,11,11
g361031469023,64,13,11,11,11,11,11,11
g361031470011,61,11,12,11,11,11,11,11
g361031470012,68,11,12,11,17,11,11,11
g361031470013,80,42,11,11,11,11,11,11
g361031470031,92,48,13,11,11,11,11,11
g361031470032,87,17,24,11,11,11,11,11
g361031470033,59,79,11,11,11,11,11,11
g361031470041,68,10,13,8,13,19,11,11
g361031471001,55,11,7,11,11,11,11,11
g361031471002,31,11,11,32,7,17,11,10
g361031471003,42,11,11,11,11,11,11,11
g361031472001,161,11,29,100,63,11,11,11
g361031472002,90,27,11,11,95,11,36,37
g361031472003,76,11,24,72,112,42,58,25
g361031472004,73,11,11,47,11,11,11,11
g361031472005,57,34,11,27,60,34,74,92
g361031473001,66,11,11,30,150,11,22,46
g361031473002,95,11,11,11,11,71,26,30
g361031473003,109,11,11,11,11,11,11,11
g361031473004,129,11,63,11,11,11,11,11
g361031473005,38,11,119,79,123,35,11,35
