GEOID,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M
g361031232021,11,11,11,11,11,11,11,11,11,11,11,11,11,14,20,39,11,66,98,42,58,28,18,11
g361031232022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,23,27,11,11,11,11
g361031232023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,111,94,16,45,21,11
g361031232024,11,11,11,12,11,11,11,11,30,11,11,11,11,11,11,23,37,69,72,100,107,56,11,11
g361031233011,11,11,11,25,32,11,26,11,11,11,11,11,11,25,11,62,11,18,11,52,11,11,11,11
g361031233012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,67,11,61,36,55,41,11,11,11
g361031233013,11,11,11,11,11,11,11,11,11,11,11,11,11,25,11,27,37,45,53,43,11,11,11,11
g361031233014,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,82,11,51,11,50,11,11,11,11
g361031233015,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,32,67,22,86,61,31,11,11
g361031233016,11,32,55,66,17,74,29,30,11,30,11,11,11,11,11,11,11,11,11,27,11,11,11,11
g361031233021,10,11,11,11,11,11,11,11,11,11,11,26,11,40,11,9,8,35,52,14,36,11,11,11
g361031234011,11,11,10,11,11,11,11,11,11,11,11,11,11,11,23,11,11,14,33,48,70,28,11,11
g361031234012,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,46,70,11,9,11,11
g361031234013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,48,59,18,11,11
g361031234021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,40,11,36,85,32,11,26,11
g361031234022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,39,41,102,33,36,11,11
g361031234023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,37,72,84,11,11,11,11
g361031234024,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,73,52,11,11,11
g361031234025,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,32,11,33,38,82,56,23,11,11
g361031235001,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,69,48,50,43,11,11
g361031235002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,56,26,20,32,37,11,11,11
g361031235003,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,27,49,46,44,51,11,11
g361031235004,11,11,11,11,11,11,11,11,11,11,11,11,11,81,11,11,11,32,71,56,17,11,11,11
