GEOID,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031595051,1399,0,320,0
g361031595052,1131,686,0,0
g361031595053,934,17,194,27
g361031595054,827,45,388,91
g361031595055,1013,91,1109,0
g361031595061,1264,185,711,0
g361031595062,1678,528,313,0
g361031595063,791,174,254,307
g361031595064,1686,130,294,185
g361031595081,1508,161,375,0
g361031595082,1130,0,375,0
g361031595083,1327,14,551,0
g361031595084,1186,305,405,1
g361031595091,496,10,115,0
g361031595092,908,0,20,35
g361031595093,521,276,130,0
g361031595101,114,8,66,5
g361031595102,8,0,0,4
g361031595111,1715,30,546,0
g361031595112,1007,49,151,49
g361031595113,651,399,83,56
g361031595114,1632,92,155,0
g361031595121,1740,548,225,0
g361031596011,1558,15,0,0
g361031596012,748,0,11,20
g361031596013,872,0,72,9
g361031596014,1296,13,0,0
g361031596015,1703,6,24,0
g361031596021,2314,45,48,0
g361031596022,1498,10,119,22
g361031697011,1195,31,69,0
g361031697012,1097,10,52,0
g361031697013,1650,47,316,55
g361031697014,1347,0,98,0
g361031697015,1624,0,55,0
g361031697031,1477,14,12,5
g361031697041,545,0,302,0
g361031697042,1022,0,0,45
g361031697043,930,210,728,38
g361031697044,1035,0,0,0
g361031697045,309,73,51,0
g361031697046,1431,39,0,59
g361031698001,1104,128,908,0
g361031698002,549,257,230,13
g361031698003,890,9,822,11
g361031698004,515,195,401,0
g361031699011,1099,128,251,0
g361031699012,2758,1272,344,205
g361031699021,1425,0,149,0
g361031699022,634,42,216,0
g361031699023,681,0,0,0
g361031699024,222,12,0,0
g361031699025,1275,176,327,0
g361031700011,1368,0,0,0
g361031700012,1497,76,17,19
g361031700013,504,0,115,0
g361031700014,734,3,3,15
g361031700015,1210,0,32,0
g361031700021,452,0,0,0
g361031700022,1027,14,45,0
g361031700023,629,0,0,0
g361031700024,938,137,7,0
g361031700025,619,0,26,58
g361031701011,703,107,205,0
g361031701012,627,139,512,1
g361031702011,1353,0,0,24
g361031702012,1260,0,0,0
g361031702013,651,0,60,0
g361031702014,607,0,0,0
g361031702015,498,0,0,12
g361031702016,1100,0,36,0
g361031702017,480,0,0,0
g361031702021,555,0,106,0
g361031702022,296,0,0,0
g361031702023,835,0,65,3
g361031702024,695,2,15,1
g361031702025,1217,29,29,0
g361031803001,1391,2,0,6
g361031803002,1045,0,176,0
g361031904011,683,196,131,0
g361031904012,93,144,222,3
g361031904013,400,83,202,0
g361031904014,1598,1119,443,0
g361031904015,326,479,388,0
g361031904016,596,38,104,86
g361031904017,623,203,1973,101
g361031904021,984,49,304,38
g361031904022,932,8,140,0
g361031904031,605,0,259,11
g361031904032,541,11,357,20
g361031904033,993,0,548,0
g361031905021,525,0,126,0
g361031905022,803,29,102,4
g361031905023,805,0,30,24
g361031905031,683,0,78,13
g361031905032,644,49,230,103
g361031905033,736,0,45,0
g361031905034,395,0,23,0
g361031905041,579,0,4,0
g361031905042,569,1,1,0
g361031905043,587,0,0,11
g361031906011,362,53,12,12
g361031906012,888,0,11,0
g361031906013,1081,0,31,0
g361031906014,706,0,80,21
g361031906015,468,0,0,0
g361031906016,424,0,2,0
g361031906031,596,0,337,0
g361031906032,1212,108,869,0
g361031906033,778,0,341,8
g361031906041,1657,0,190,21
g361031906042,1092,20,366,0
g361031906043,372,0,215,40
g361031907041,816,0,230,37
g361031907042,284,10,56,0
g361031907043,220,12,0,0
g361031907044,346,16,110,9
g361031907045,775,0,50,0
