GEOID,B25038_001E,B25038_003E,B25038_004E,B25038_005E,B25038_006E,B25038_007E,B25038_008E,B25038_010E,B25038_011E,B25038_012E,B25038_013E,B25038_014E,B25038_015E
g361031458072,704,24,144,188,165,116,16,0,15,36,0,0,0
g361031458081,575,12,128,118,43,118,45,63,20,0,28,0,0
g361031458082,412,0,113,95,24,102,24,39,10,0,0,5,0
g361031459011,363,50,88,36,10,18,35,29,91,0,6,0,0
g361031459012,628,52,161,148,97,65,67,14,12,12,0,0,0
g361031459021,515,21,175,73,52,0,25,89,80,0,0,0,0
g361031459022,488,0,155,64,59,6,45,54,105,0,0,0,0
g361031459023,564,21,167,44,80,9,53,55,135,0,0,0,0
g361031459024,669,0,190,177,0,41,6,137,118,0,0,0,0
g361031459031,445,49,173,62,24,53,62,0,22,0,0,0,0
g361031459032,464,70,129,91,56,58,30,18,12,0,0,0,0
g361031459033,378,34,85,65,19,19,50,68,38,0,0,0,0
g361031459034,555,8,148,107,15,22,69,94,92,0,0,0,0
g361031460011,609,7,186,123,70,52,14,42,115,0,0,0,0
g361031460012,537,10,84,83,119,21,13,64,123,20,0,0,0
g361031460021,482,37,118,60,108,73,32,0,19,35,0,0,0
g361031460022,309,28,126,25,8,31,0,91,0,0,0,0,0
g361031460023,489,42,130,93,9,61,18,0,130,0,6,0,0
g361031460031,480,0,252,22,35,35,20,20,76,20,0,0,0
g361031460032,440,0,16,191,47,31,60,39,42,14,0,0,0
g361031460033,966,29,166,231,64,0,16,73,253,134,0,0,0
g361031460034,633,0,170,93,59,57,76,0,156,22,0,0,0
g361031461021,615,30,187,135,21,31,89,109,7,0,0,0,6
g361031461031,445,12,91,193,26,28,75,0,13,0,0,7,0
g361031461032,763,21,214,246,93,70,98,0,15,6,0,0,0
g361031461051,486,13,52,24,0,29,0,58,245,38,27,0,0
g361031461052,721,10,123,152,76,65,49,90,156,0,0,0,0
g361031461053,499,12,248,113,31,32,28,0,35,0,0,0,0
g361031461061,682,25,196,98,21,8,36,156,115,27,0,0,0
g361031461062,395,0,107,128,44,0,46,37,33,0,0,0,0
g361031462011,648,46,123,95,74,9,23,58,137,62,0,0,21
g361031462012,537,90,132,61,55,32,60,0,59,40,8,0,0
g361031462021,601,38,245,41,49,65,29,38,96,0,0,0,0
g361031462022,561,27,158,105,31,49,24,84,83,0,0,0,0
g361031462031,547,10,121,74,28,7,21,120,96,27,0,7,36
