GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031235001,95,11,51,45,21,66,43,11,61,39,11,11,11
g361031235002,95,19,57,20,30,11,33,72,49,11,11,11,11
g361031235003,134,43,61,55,37,27,24,87,70,16,11,11,11
g361031235004,145,27,74,74,41,60,11,109,99,55,33,14,11
g361031236001,101,48,63,86,28,47,23,54,11,11,11,11,11
g361031236002,58,11,38,32,22,31,11,11,48,20,11,11,11
g361031236003,74,23,46,57,58,28,29,42,11,11,11,11,45
g361031237011,102,39,75,57,34,29,24,57,66,20,11,11,11
g361031237012,90,14,28,16,34,11,10,76,70,22,11,11,11
g361031237013,108,19,51,21,19,9,16,47,84,40,42,11,11
g361031237014,95,11,35,35,14,21,24,44,89,11,16,11,11
g361031237021,140,39,97,90,18,25,63,99,128,11,11,11,11
g361031237022,166,25,132,84,64,44,36,67,84,65,11,11,11
g361031237023,99,55,56,51,42,18,74,74,23,23,11,11,11
g361031237024,143,11,47,76,99,44,94,114,84,52,11,11,11
g361031238011,80,14,72,45,32,28,34,36,11,15,11,11,11
g361031238012,83,14,41,30,52,16,46,39,31,11,11,11,11
g361031238013,111,21,52,47,48,65,25,50,79,11,11,11,11
g361031238021,106,10,75,48,65,63,88,55,11,34,11,11,11
g361031238022,106,38,94,82,49,59,28,22,25,19,18,11,11
g361031239001,94,14,81,33,27,28,22,66,67,11,24,11,11
g361031239002,57,11,62,46,26,19,24,11,23,11,11,11,11
g361031239003,61,11,14,55,37,40,20,11,11,11,15,11,11
g361031239004,99,24,55,41,63,23,59,71,49,35,11,11,11
g361031239005,39,14,21,24,14,24,31,11,11,11,11,11,11
g361031240011,101,73,58,68,54,20,50,72,59,11,11,16,11
g361031240012,102,20,48,67,40,27,47,41,69,14,27,11,12
g361031240013,48,11,21,16,16,27,25,22,21,10,11,11,11
g361031240021,69,16,70,44,45,35,32,23,16,15,11,11,11
g361031240022,62,19,57,62,51,56,67,54,54,16,11,11,11
g361031241011,119,31,95,57,79,43,27,56,53,46,19,11,11
g361031241012,89,23,71,37,58,34,30,40,35,11,11,15,11
g361031241013,89,20,83,38,30,25,44,23,40,25,11,11,11
g361031241021,94,11,92,44,32,22,42,39,46,15,11,11,11
g361031241022,83,12,79,74,53,33,39,35,32,11,11,11,10
g361031242001,151,20,50,60,46,32,11,116,11,26,11,11,11
g361031242002,98,49,87,46,11,34,27,11,44,11,11,11,11
g361031242003,125,28,44,11,35,11,22,26,88,33,11,11,80
g361031242004,146,35,66,109,69,19,74,118,30,11,11,11,10
g361031242005,168,70,118,40,31,18,25,75,80,11,11,11,11
g361031243001,106,11,47,44,36,68,37,102,11,11,11,11,11
g361031243002,136,66,73,94,42,30,28,56,96,50,11,11,11
g361031243003,125,27,33,84,65,36,11,58,104,47,11,11,11
g361031243004,111,16,54,96,57,47,72,11,27,11,11,11,11
g361031243005,64,18,61,33,11,11,18,42,41,22,11,11,11
g361031244011,94,11,11,11,11,11,11,91,49,43,15,11,11
g361031244012,87,55,42,20,32,33,12,61,11,11,11,11,11
g361031244013,100,34,83,38,34,29,35,52,80,21,11,11,11
g361031244021,76,27,59,67,30,47,39,11,40,11,11,11,11
g361031244022,91,44,39,47,39,54,32,11,11,11,64,11,11
