GEOID,B25034_001M,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M,B25024_001M,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M,B03002_001M,B03002_003M,B03002_004M,B03002_012M,B03002_006M,B11001_001M,B11001_003M,B11001_004M,B11001_009M,B11001_008M,B25004_001M,B25004_006M,B25075_001M,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031110021,64,11,14,52,13,61,27,11,9,11,64,14,41,47,54,14,11,11,15,260,89,70,279,11,64,60,55,13,30,11,11,41,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,14,14,36,9,11,11,11,260,13,145,41,198,16,11,110,64,12,43,14,14,11,11,22,70,18,16,11,11
g361031110022,84,54,26,80,42,50,15,11,11,11,84,64,27,65,13,11,11,11,11,253,223,24,101,147,77,86,42,16,55,49,10,68,11,11,11,11,11,11,11,11,11,11,43,11,11,11,11,11,11,11,12,47,53,21,12,11,253,13,27,138,11,11,68,236,77,39,51,42,26,21,21,58,45,7,11,11,11
g361031110023,100,63,37,91,53,15,17,23,18,11,100,90,11,52,51,36,11,11,11,687,125,279,631,11,100,106,74,48,11,11,11,85,18,11,11,11,11,11,11,11,11,12,11,11,11,11,47,11,11,50,74,28,11,11,11,11,590,321,485,185,103,265,180,303,100,51,61,39,40,11,23,61,91,11,11,11,11
g361031110024,105,99,53,66,17,11,11,34,39,11,105,93,31,23,11,60,13,11,11,436,179,261,340,33,105,85,65,49,60,11,11,79,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,46,76,24,11,11,11,436,257,148,24,52,93,75,359,105,34,68,33,13,21,23,46,100,15,11,11,11
g361031111001,188,122,128,171,91,134,11,11,26,11,188,189,11,112,33,37,11,11,11,933,474,162,943,74,188,171,128,77,129,11,11,197,11,11,11,11,11,11,11,11,11,11,11,83,11,11,11,26,11,94,155,110,34,11,11,11,933,125,421,645,122,190,154,570,188,11,152,51,18,95,143,11,105,137,11,11,11
g361031111002,143,68,11,129,11,67,11,11,11,11,143,145,61,11,11,11,48,11,11,864,521,27,764,68,148,128,115,11,65,34,11,126,11,11,11,25,11,11,11,11,11,11,11,11,11,11,11,11,11,11,76,108,27,11,11,11,864,95,73,11,482,11,11,741,148,11,99,60,90,11,32,90,75,11,11,11,11
g361031111003,103,11,11,73,67,36,11,11,44,11,103,100,11,24,11,11,11,11,11,473,313,230,291,141,103,78,72,11,45,11,11,102,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,33,57,89,27,11,11,473,11,96,270,27,120,11,479,103,22,83,45,32,46,43,11,63,34,11,11,11
g361031111004,117,48,40,88,70,68,33,11,11,11,117,110,33,61,11,11,11,11,11,538,241,11,454,120,117,90,85,38,65,11,11,112,31,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,51,98,58,11,11,11,538,105,220,274,218,29,11,388,117,11,79,84,22,37,69,11,59,11,32,11,11
g361031111005,148,31,86,175,40,11,11,11,11,11,148,148,11,11,11,11,11,11,11,710,442,11,527,11,148,174,50,11,99,11,11,125,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,109,25,28,30,68,31,11,11,710,49,94,11,11,62,11,767,148,25,49,110,29,11,28,107,11,11,11,11,11
g361031112011,87,98,86,46,15,59,11,50,11,11,87,89,11,96,11,11,11,11,11,941,142,158,1028,11,95,79,73,64,13,65,11,75,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,62,46,11,11,11,11,941,80,279,254,17,161,11,668,95,47,29,52,11,11,11,61,80,55,49,11,11
