GEOID,B25034_001M,B03002_001M,B11001_001M,B25026_001M,B25004_001M,B25075_001M,B25024_001M
g361031581072,78,301,77,,28,79,78
g361031581081,30,187,46,,37,63,30
g361031581101,75,377,75,,45,76,75
g361031581102,72,361,72,,58,74,72
g361031581111,63,249,68,,43,61,63
g361031581112,64,220,61,,26,58,64
g361031581121,81,326,86,,33,93,81
g361031581122,81,403,92,,57,94,81
g361031581141,48,234,77,,83,88,48
g361031581151,138,536,150,,114,119,138
g361031581152,119,642,119,,11,101,119
g361031581153,119,424,119,,11,121,119
g361031581161,56,219,62,,28,63,56
g361031581162,55,173,55,,28,48,55
g361031582021,135,637,133,,17,116,135
g361031582022,167,803,171,,56,110,167
g361031582023,145,522,144,,51,116,145
g361031582024,94,390,97,,37,97,94
g361031582025,147,506,132,,59,137,147
g361031582031,18,142,25,,18,31,18
g361031582051,46,182,50,,32,51,46
g361031582052,43,172,43,,11,44,43
g361031582061,97,263,99,,39,80,97
g361031582062,78,242,80,,35,69,78
g361031582063,87,263,82,,41,66,87
g361031582071,45,162,44,,24,41,45
g361031582072,90,306,89,,40,82,90
g361031582073,69,139,59,,54,47,69
g361031582074,86,248,86,,11,69,86
g361031583041,144,389,147,,65,151,144
g361031583042,128,632,128,,11,131,128
g361031583043,147,491,152,,49,160,147
g361031583044,105,317,105,,11,107,105
g361031583061,108,420,108,,11,113,108
g361031583062,119,302,119,,11,118,119
g361031583063,97,483,93,,28,93,97
g361031583081,123,539,123,,11,66,123
g361031583082,163,548,156,,58,129,163
g361031583083,139,647,135,,66,130,139
g361031583084,154,542,147,,103,147,154
g361031583091,110,411,110,,11,115,110
g361031583092,109,369,116,,46,69,109
g361031583101,71,286,69,,48,72,71
g361031583102,80,339,89,,47,90,80
g361031583151,97,345,92,,66,104,97
g361031583152,95,388,91,,43,100,95
g361031583171,159,470,155,,114,151,159
g361031583172,146,618,137,,147,114,146
g361031583173,116,513,99,,74,99,116
g361031583181,82,428,91,,33,91,82
g361031583182,77,250,83,,53,83,77
g361031583183,72,289,77,,28,81,72
g361031583191,109,382,115,,35,96,109
g361031583192,82,287,82,,11,84,82
g361031583193,77,284,73,,41,63,77
g361031583201,94,385,91,,76,91,94
g361031583202,131,464,126,,88,126,131
g361031583203,127,229,130,,90,118,127
g361031583204,96,423,96,,11,96,96
g361031583211,194,1002,191,,124,143,194
g361031583212,123,329,123,,11,118,123
g361031583213,116,371,81,,76,81,116
g361031583214,194,691,202,,103,75,194
g361031583221,48,189,51,,21,50,48
g361031583231,106,430,106,,11,106,106
g361031583232,135,414,103,,96,103,135
g361031583233,115,482,115,,11,117,115
g361031583234,132,444,144,,65,139,132
g361031584011,12,112,31,,29,41,12
g361031584021,72,268,72,,11,74,72
g361031584022,42,111,39,,23,40,42
g361031584023,61,282,73,,44,68,61
g361031584031,61,196,61,,11,65,61
g361031584032,63,193,70,,47,55,63
g361031584051,80,323,98,,74,108,80
g361031584052,69,253,60,,33,61,69
g361031584053,71,292,71,,11,75,71
g361031584071,109,343,101,,107,95,109
g361031584072,139,568,134,,58,114,139
g361031584073,142,444,128,,125,129,142
g361031584074,141,483,135,,92,120,141
g361031584081,97,402,97,,65,92,97
g361031584082,103,273,85,,61,95,103
g361031584091,116,455,117,,99,72,116
g361031584092,112,451,112,,63,114,112
g361031584093,104,344,86,,102,80,104
g361031584101,91,247,89,,16,89,91
g361031584102,104,238,114,,121,111,104
g361031584103,108,266,125,,119,113,108
g361031585021,85,311,89,,41,85,85
g361031585022,70,309,70,,11,60,70
g361031585023,82,188,84,,15,35,82
g361031585051,82,455,80,,53,93,82
g361031585052,59,228,55,,26,59,59
g361031585053,70,162,70,,11,30,70
g361031585061,58,316,61,,39,56,58
g361031585062,53,152,53,,11,53,53
g361031585071,77,236,77,,11,75,77
g361031585072,73,237,70,,67,69,73
g361031585073,77,438,87,,40,93,77
g361031585081,87,357,76,,62,76,87
g361031585082,96,352,99,,40,85,96
g361031585083,87,340,87,,11,87,87
g361031585084,78,188,80,,18,67,78
g361031585085,75,350,75,,11,75,75
g361031585091,103,276,95,,73,83,103
g361031585092,92,265,91,,66,99,92
g361031585093,113,478,119,,46,76,113
g361031585101,171,533,171,,11,137,171
g361031585102,110,475,110,,11,97,110
g361031585103,143,590,140,,65,137,143
g361031585104,122,409,122,,11,119,122
g361031585111,91,373,91,,11,84,91
g361031585112,106,465,103,,28,116,106
g361031585113,99,536,99,,40,106,99
g361031585121,76,292,76,,17,81,76
g361031585122,80,467,80,,50,81,80
g361031586041,83,406,89,,34,93,83
g361031586042,80,325,72,,55,61,80
g361031586043,95,376,95,,39,89,95
g361031586051,99,406,99,,11,96,99
g361031586052,98,373,98,,11,87,98
g361031586061,80,281,80,,11,90,80
g361031586062,89,323,95,,51,84,89
g361031586063,78,364,75,,33,78,78
g361031586071,106,349,120,,82,96,106
g361031586072,104,340,88,,66,89,104
g361031586081,72,251,63,,50,41,72
g361031586082,76,250,75,,38,63,76
g361031586083,75,268,75,,35,79,75
g361031586091,90,337,91,,54,85,90
