GEOID,B25034_001E,B03002_001E,B11001_001E,B25026_001E,B25004_001E,B25075_001E,B25024_001E
g361031231022,678,1633,648,,30,587,678
g361031231023,287,803,287,,0,220,287
g361031232011,749,1930,681,,68,315,749
g361031232021,557,1826,504,,53,375,557
g361031232022,557,1104,498,,59,44,557
g361031232023,622,3180,593,,29,408,622
g361031232024,842,3273,800,,42,681,842
g361031233011,600,1378,566,,34,207,600
g361031233012,566,1766,528,,38,257,566
g361031233013,337,759,299,,38,255,337
g361031233014,326,1207,296,,30,156,326
g361031233015,481,2161,440,,41,296,481
g361031233016,423,1220,391,,32,268,423
g361031233021,533,1674,423,,110,315,533
g361031234011,445,1289,392,,53,325,445
g361031234012,472,1670,444,,28,296,472
g361031234013,381,1287,381,,0,272,381
g361031234021,597,1718,597,,0,303,597
g361031234022,581,1679,565,,16,436,581
g361031234023,365,1176,348,,17,266,365
g361031234024,289,762,289,,0,144,289
g361031234025,710,1753,662,,48,416,710
g361031235001,512,1848,446,,66,288,512
g361031235002,368,1266,287,,81,134,368
g361031235003,762,1430,620,,142,339,762
g361031235004,781,1797,755,,26,318,781
g361031236001,741,1273,612,,129,557,741
g361031236002,296,825,288,,8,218,296
g361031236003,516,1172,481,,35,418,516
g361031237011,627,2080,581,,46,373,627
g361031237012,324,1630,324,,0,103,324
g361031237013,567,1668,550,,17,159,567
g361031237014,355,1428,355,,0,176,355
g361031237021,720,3187,720,,0,440,720
g361031237022,909,2023,851,,58,666,909
g361031237023,458,1225,444,,14,371,458
g361031237024,745,1821,731,,14,458,745
g361031238011,497,990,439,,58,395,497
g361031238012,325,984,299,,26,232,325
g361031238013,942,2173,782,,160,613,942
g361031238021,674,1402,645,,29,569,674
g361031238022,774,1916,774,,0,709,774
g361031239001,489,1533,479,,10,315,489
g361031239002,322,879,283,,39,269,322
g361031239003,257,775,257,,0,248,257
g361031239004,504,1567,467,,37,334,504
g361031239005,189,447,152,,37,152,189
g361031240011,771,2378,719,,52,535,771
g361031240012,666,1849,631,,35,473,666
g361031240013,223,325,167,,56,115,223
g361031240021,489,1488,455,,34,406,489
g361031240022,661,2043,661,,0,562,661
g361031241011,742,2320,681,,61,564,742
g361031241012,418,1375,418,,0,340,418
g361031241013,448,1445,424,,24,355,448
g361031241021,646,1398,523,,123,428,646
g361031241022,669,1951,580,,89,524,669
g361031242001,397,1155,397,,0,260,397
g361031242002,474,858,378,,96,341,474
g361031242003,335,540,290,,45,97,335
g361031242004,585,1630,585,,0,458,585
g361031242005,594,1347,465,,129,356,594
g361031243001,350,1225,350,,0,262,350
g361031243002,635,1646,635,,0,381,635
g361031243003,651,1383,651,,0,303,651
g361031243004,546,1631,546,,0,529,546
g361031243005,291,602,245,,46,138,291
g361031244011,462,631,405,,57,0,462
g361031244012,406,960,346,,60,246,406
g361031244013,723,2411,715,,8,436,723
g361031244021,632,2081,632,,0,579,632
g361031244022,416,1044,376,,40,335,416
g361031244023,391,630,278,,113,277,391
g361031245001,374,1165,374,,0,307,374
g361031245002,420,998,420,,0,263,420
g361031245003,484,1355,484,,0,253,484
g361031245004,560,1831,560,,0,514,560
g361031246011,410,1019,390,,20,359,410
g361031246012,307,902,300,,7,285,307
g361031246013,285,766,263,,22,251,285
g361031246021,221,617,221,,0,164,221
g361031246022,598,1256,538,,60,306,598
g361031246023,619,1520,553,,66,481,619
g361031246024,407,748,407,,0,199,407
g361031347021,625,1966,579,,46,511,625
g361031347022,865,2390,865,,0,744,865
g361031347023,564,628,501,,63,25,564
g361031347024,331,797,331,,0,299,331
g361031347031,326,1196,316,,10,316,326
g361031347032,378,1044,370,,8,370,378
g361031347033,410,1238,410,,0,343,410
g361031347034,234,607,234,,0,234,234
g361031347041,512,1504,498,,14,477,512
g361031347042,446,1058,366,,80,267,446
g361031349021,431,1170,403,,28,359,431
g361031349022,334,1144,334,,0,334,334
g361031349023,787,2558,745,,42,714,787
g361031349031,423,1297,423,,0,337,423
g361031349041,480,1720,480,,0,460,480
g361031349042,528,1850,516,,12,516,528
g361031349043,639,1965,591,,48,554,639
g361031349044,628,1198,586,,42,353,628
g361031349061,575,1738,535,,40,518,575
g361031349062,386,1079,386,,0,336,386
g361031349063,559,1725,559,,0,540,559
g361031349064,617,1293,613,,4,189,617
