GEOID,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M
g361031354023,11,23,11,51,42,87,26,11,11
g361031354024,41,11,26,84,35,74,90,11,11
g361031354031,31,15,38,55,46,17,11,20,11
g361031354032,70,62,61,73,51,40,24,11,11
g361031354033,62,12,37,48,66,34,26,14,11
g361031456021,37,54,34,91,27,12,14,11,11
g361031456022,31,11,76,77,62,11,11,11,11
g361031456023,32,32,71,86,23,9,11,11,11
g361031456031,10,59,84,105,43,24,42,54,11
g361031456032,24,7,51,59,17,12,58,49,11
g361031456033,21,48,69,79,71,50,23,43,44
g361031456041,11,31,78,88,90,40,47,32,11
g361031456042,11,24,73,66,68,11,11,45,11
g361031456051,11,22,39,47,36,9,22,38,11
g361031456052,39,42,66,57,58,21,8,11,11
g361031457011,37,13,28,59,11,45,14,24,11
g361031457012,20,41,16,66,82,22,23,41,11
g361031457013,64,11,57,102,83,71,59,11,11
g361031457014,11,12,65,82,57,28,10,11,11
g361031457021,57,11,35,73,38,23,44,9,11
g361031457022,26,10,80,87,39,47,47,11,11
g361031457023,102,28,117,118,53,11,7,28,11
g361031457031,38,47,45,32,30,53,11,34,11
g361031457032,76,67,60,62,98,49,72,11,12
g361031457033,95,34,30,84,70,47,48,11,11
g361031457041,11,11,27,98,112,36,119,11,11
g361031457042,11,11,11,99,145,11,99,11,11
g361031457043,73,84,64,106,153,116,22,59,11
g361031457044,11,11,11,70,94,48,45,144,11
g361031458031,29,15,17,38,93,30,39,22,11
g361031458032,12,12,55,54,85,50,44,11,11
g361031458033,26,11,26,118,51,12,50,23,12
g361031458041,11,22,21,62,34,41,33,11,11
g361031458042,8,11,28,43,40,32,30,35,11
g361031458051,11,65,38,83,98,40,20,11,11
g361031458052,56,57,59,97,54,15,38,11,11
g361031458053,71,17,41,56,107,23,60,21,11
g361031458054,30,39,51,125,65,27,36,20,11
g361031458071,11,44,49,69,70,60,15,25,11
g361031458072,25,37,41,66,95,34,27,11,11
g361031458081,16,43,46,81,71,48,11,13,11
g361031458082,53,38,30,40,45,6,62,12,11
g361031459011,9,11,86,54,41,9,16,11,11
g361031459012,12,40,81,65,20,15,16,9,11
g361031459021,11,11,59,58,77,87,100,90,33
g361031459022,11,16,116,114,36,109,11,11,11
g361031459023,95,30,120,62,73,78,11,11,11
g361031459024,63,92,135,93,70,92,13,11,11
g361031459031,40,52,47,57,11,11,11,60,11
g361031459032,46,28,80,39,19,11,20,11,11
g361031459033,33,11,101,51,11,11,11,11,11
g361031459034,11,43,101,62,46,20,11,31,11
g361031460011,41,41,84,79,57,51,40,56,11
g361031460012,12,7,86,72,70,33,77,11,11
g361031460021,20,37,68,71,73,11,11,41,11
g361031460022,43,24,42,78,59,17,43,11,11
g361031460023,43,45,86,87,93,15,61,11,11
g361031460031,58,11,91,57,120,11,47,55,11
g361031460032,69,16,54,70,43,68,13,11,11
g361031460033,38,48,60,89,135,80,113,36,11
g361031460034,28,38,82,78,93,19,34,60,11
g361031461021,6,27,59,67,58,19,15,11,11
g361031461031,29,30,49,91,45,24,11,11,11
g361031461032,35,56,40,91,75,51,26,38,11
g361031461051,20,48,89,57,88,33,44,56,11
g361031461052,33,42,117,94,48,56,78,14,11
g361031461053,60,18,27,129,46,11,11,11,11
g361031461061,68,21,76,65,31,64,66,107,11
g361031461062,11,23,96,66,37,23,16,31,11
g361031462011,10,14,95,88,62,65,53,11,11
g361031462012,9,48,76,84,69,11,35,11,11
g361031462021,11,65,21,93,87,27,11,54,11
g361031462022,45,11,61,100,42,48,54,31,11
g361031462031,88,63,66,29,31,54,57,73,11
g361031462032,11,9,24,11,11,21,80,19,11
g361031462033,76,79,36,73,30,17,66,62,11
g361031462041,33,49,64,80,70,91,11,11,11
g361031462042,11,34,75,131,97,91,11,11,11
g361031462043,11,11,79,41,37,21,11,11,11
g361031462051,31,39,34,38,26,17,11,11,11
g361031462052,9,14,51,56,38,19,31,14,11
g361031462061,8,25,31,59,6,26,8,11,11
g361031462062,43,32,50,47,39,25,14,9,9
g361031463001,30,11,11,11,28,56,85,13,11
g361031463002,11,11,80,10,11,11,16,86,25
g361031464021,29,11,75,95,62,76,22,58,11
g361031464022,23,11,29,48,50,11,18,33,37
g361031464023,11,39,46,56,32,28,11,11,11
g361031464031,41,17,87,61,11,41,11,25,16
g361031464032,24,11,98,45,48,28,11,11,11
g361031464033,25,7,71,51,49,15,21,45,18
g361031464041,26,29,51,64,78,68,15,26,11
g361031464042,49,34,37,55,70,22,10,14,32
g361031465001,29,11,63,60,29,12,11,49,11
g361031465002,58,26,59,37,12,19,11,41,11
g361031465003,72,39,76,56,47,25,11,15,11
g361031465004,48,16,57,49,44,27,23,12,11
g361031466041,65,11,11,83,89,71,10,41,11
g361031466042,15,11,20,67,74,41,11,15,11
g361031466043,17,28,30,46,47,30,33,12,11
g361031466051,34,17,25,22,39,26,17,15,11
g361031466061,16,11,44,89,46,52,18,11,11
g361031466062,27,22,90,77,111,76,21,72,11
g361031466063,73,46,55,69,108,30,25,11,11
g361031466064,36,11,59,58,120,102,33,61,48
g361031466071,11,14,28,14,83,23,15,43,11
g361031466072,57,11,46,58,53,90,26,28,11
g361031466081,22,9,11,75,51,55,16,67,11
g361031466082,14,11,11,50,34,30,79,51,11
g361031466111,11,13,51,37,55,21,80,63,11
g361031466112,16,19,11,70,43,46,9,21,11
g361031466121,12,26,19,37,60,22,11,13,11
g361031466122,52,79,27,58,69,69,28,11,11
g361031466123,52,38,9,76,84,11,44,11,11
g361031466131,15,25,34,53,63,25,11,11,11
g361031466132,43,44,43,78,76,58,39,11,11
g361031466141,11,11,11,36,117,11,100,29,11
g361031466142,11,11,20,11,73,26,34,11,11
g361031466143,11,26,20,44,131,52,60,67,11
g361031466151,11,11,17,33,68,62,11,11,11
g361031466152,11,11,10,63,55,58,70,49,11
g361031466153,11,11,42,38,90,69,101,36,11
g361031467031,15,47,84,76,53,17,11,11,11
g361031467032,29,35,110,60,25,15,11,16,11
g361031467041,9,41,59,52,40,14,9,11,11
g361031467051,26,15,51,68,20,16,11,11,11
g361031467052,11,23,60,75,49,21,11,14,11
g361031467061,18,36,30,51,32,25,12,7,11
g361031467062,17,28,64,44,32,20,28,15,11
g361031468001,11,20,87,101,53,51,32,11,11
g361031468002,11,27,90,40,22,12,13,56,11
g361031468003,17,51,59,28,23,86,26,29,11
g361031468004,11,11,53,22,18,16,11,11,11
g361031469011,38,48,84,45,76,15,26,11,11
g361031469012,14,48,77,43,16,11,11,11,11
g361031469013,19,11,50,41,17,13,11,15,11
g361031469014,39,24,50,28,9,36,23,11,11
g361031469021,64,35,65,72,40,15,11,11,11
g361031469022,41,8,69,72,11,15,11,6,11
g361031469023,11,11,12,42,42,27,47,37,11
g361031470011,15,12,65,36,32,13,12,11,11
g361031470012,22,38,34,49,34,24,17,37,11
g361031470013,55,31,68,74,79,39,40,11,11
g361031470031,47,63,77,65,65,20,41,30,11
g361031470032,13,10,92,49,35,10,13,10,11
g361031470033,23,20,22,16,69,77,33,45,11
g361031470041,103,34,51,51,72,79,28,20,11
g361031471001,42,26,40,16,11,11,19,11,11
g361031471002,31,26,36,36,15,8,11,7,11
g361031471003,40,16,28,25,10,18,12,8,11
g361031472001,100,100,128,98,21,76,11,37,11
g361031472002,24,24,27,29,68,70,53,46,26
g361031472003,70,60,50,68,17,67,84,86,11
g361031472004,62,11,65,33,11,37,42,17,11
g361031472005,86,11,29,11,53,77,26,25,11
g361031473001,98,11,69,112,42,11,11,72,11
g361031473002,18,91,44,11,71,37,11,20,11
g361031473003,105,69,43,31,37,11,24,11,11
g361031473004,86,91,93,91,11,11,45,40,11
g361031473005,55,11,127,95,134,99,16,24,30
g361031473006,91,33,48,58,34,47,131,24,11
g361031474011,95,63,54,89,47,32,68,58,11
g361031474012,78,22,112,82,91,47,35,11,11
g361031474013,67,77,78,53,72,96,11,74,11
g361031474014,68,11,81,44,69,11,19,11,11
g361031474021,33,31,61,13,20,21,25,51,11
g361031474022,27,19,55,40,56,15,31,47,11
g361031474023,43,27,47,32,54,12,11,24,11
g361031475011,76,22,40,46,67,73,11,11,11
g361031475012,74,47,113,54,32,92,35,15,11
g361031475013,37,11,11,70,11,11,40,22,11
g361031475014,69,22,19,11,11,56,11,43,11
g361031475015,51,19,59,69,132,76,18,11,11
g361031475016,90,42,65,49,71,57,11,18,11
g361031475021,11,18,69,45,11,11,11,25,11
g361031475022,19,25,60,51,35,24,35,11,11
g361031475023,11,32,110,69,22,11,11,11,11
g361031475024,67,32,69,65,28,26,11,11,11
g361031475025,33,33,63,47,33,28,23,11,11
g361031475031,42,53,48,60,35,43,21,40,11
g361031476011,11,11,51,34,43,45,11,19,11
g361031476012,54,32,25,30,44,8,11,22,11
g361031476021,11,11,35,75,78,35,70,86,11
g361031476022,44,11,50,92,111,45,22,11,11
g361031476023,11,11,33,57,52,44,78,45,11
g361031476024,11,11,75,70,31,11,15,32,11
g361031477011,53,20,42,74,42,49,32,25,11
g361031477012,53,11,37,73,29,29,10,33,11
g361031477021,33,24,80,64,40,26,15,11,11
g361031477022,64,67,90,47,11,25,33,61,11
g361031477023,25,12,67,71,22,49,10,11,11
g361031477024,49,31,25,25,11,14,15,40,11
g361031478021,43,41,56,36,19,14,11,11,11
g361031478022,72,25,52,42,17,20,11,11,11
g361031478023,80,28,51,31,45,11,20,11,11
g361031478031,20,16,52,22,22,73,68,61,11
g361031478032,43,18,35,33,14,26,48,11,11
g361031478041,38,11,77,97,37,12,15,11,11
g361031478042,65,13,32,50,50,11,11,11,11
g361031478043,20,11,21,56,50,20,14,11,11
g361031478044,14,19,40,59,57,31,18,11,11
g361031479011,35,11,71,55,54,29,55,37,11
g361031479012,30,11,13,36,36,26,74,117,16
g361031479013,15,15,17,79,85,52,72,58,11
g361031479021,31,38,15,27,27,20,14,11,11
g361031479022,35,44,58,57,30,24,11,48,11
g361031479023,80,56,56,32,11,52,13,11,11
g361031479024,66,33,35,34,17,36,21,16,11
g361031580011,23,24,19,24,33,25,24,11,11
g361031580012,41,19,22,16,6,21,19,12,11
g361031580013,38,42,56,41,26,18,16,14,11
g361031580014,74,16,26,14,30,25,39,15,11
g361031580015,23,11,11,38,19,21,38,11,11
g361031580021,59,11,49,77,27,34,11,36,11
g361031580022,11,11,110,78,38,52,29,11,11
g361031580023,104,31,102,43,40,62,40,24,11
g361031580024,77,24,85,24,36,11,11,55,11
g361031580025,35,21,53,64,41,20,24,11,11
g361031580026,11,26,92,64,42,49,37,11,11
g361031580061,11,11,24,115,50,64,25,26,11
