GEOID,B03002_001E,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031580025,759,667,0,0,30
g361031580026,1255,1221,0,0,34
g361031580061,2510,1985,0,150,375
g361031580062,2922,2206,84,271,361
g361031580063,971,804,4,17,146
g361031580064,378,268,40,46,24
g361031580071,2862,976,192,287,1246
g361031580072,1033,564,34,31,318
g361031580073,974,388,55,119,353
g361031580074,4128,1465,519,479,1573
g361031580091,1280,1207,0,11,40
g361031580092,1521,1320,0,108,93
g361031580101,1939,1550,50,66,245
g361031580102,926,792,0,0,134
g361031580103,794,768,0,0,26
g361031580111,1841,1540,116,80,47
g361031580112,2104,1846,0,9,234
g361031580113,775,716,0,24,12
g361031581021,2795,2052,45,493,159
g361031581022,2146,1411,38,523,26
g361031581031,3107,2277,188,564,46
g361031581032,1275,783,112,319,45
g361031581041,2223,1551,117,170,251
g361031581042,1885,1596,0,267,22
g361031581043,1643,1396,63,148,25
g361031581071,1476,1098,0,218,113
g361031581072,2599,1920,9,429,199
g361031581081,2995,1890,32,197,786
g361031581101,2214,1796,0,343,60
g361031581102,1398,1190,0,106,92
g361031581111,1772,1460,44,268,0
g361031581112,1535,1228,47,208,52
g361031581121,2059,1462,98,320,99
g361031581122,2345,1670,0,456,206
g361031581141,3430,3017,18,268,21
g361031581151,3118,2809,16,139,154
g361031581152,1840,1154,334,180,172
g361031581153,1889,1770,0,36,0
g361031581161,1413,924,87,104,298
g361031581162,585,399,17,93,76
g361031582021,1364,844,0,520,0
g361031582022,2781,1960,118,494,113
g361031582023,1565,1180,13,213,87
g361031582024,1120,1028,0,81,11
g361031582025,1998,1437,0,357,204
g361031582031,1561,1359,29,22,151
g361031582051,844,814,0,18,12
g361031582052,1185,1091,0,79,15
g361031582061,1122,1030,10,70,12
g361031582062,1311,1034,58,91,57
g361031582063,1375,1109,0,212,47
g361031582071,834,766,0,20,36
g361031582072,1755,1543,16,118,78
g361031582073,493,416,8,35,34
g361031582074,1733,1437,23,91,181
g361031583041,1521,1425,5,41,0
g361031583042,2471,1574,3,742,26
g361031583043,1737,1591,0,83,13
g361031583044,1462,1462,0,0,0
g361031583061,2571,2402,41,104,24
g361031583062,1426,1220,0,9,157
g361031583063,1812,1490,0,315,7
g361031583081,1405,1127,0,129,87
g361031583082,1735,1194,124,369,25
g361031583083,3030,2353,9,645,11
g361031583084,2086,1506,0,580,0
g361031583091,3563,2208,670,490,89
g361031583092,1446,1082,57,251,22
g361031583101,1635,1194,156,135,83
g361031583102,2546,2328,32,131,27
g361031583151,2351,1843,279,151,6
g361031583152,2284,1285,113,722,127
g361031583171,2106,1795,0,215,96
g361031583172,2045,1679,0,327,39
g361031583173,1591,1340,0,249,0
g361031583181,1738,1639,10,42,13
g361031583182,1192,997,0,195,0
g361031583183,1494,1447,0,34,0
g361031583191,1881,1420,224,227,8
g361031583192,920,489,18,46,288
g361031583193,905,713,25,125,36
g361031583201,1364,1231,0,77,56
g361031583202,1839,1706,0,86,47
g361031583203,1320,1111,0,209,0
g361031583204,1489,1460,29,0,0
g361031583211,3654,1903,315,578,858
g361031583212,1878,1122,231,373,136
g361031583213,1287,1011,0,276,0
g361031583214,3636,2331,373,393,282
g361031583221,2311,1881,175,35,211
g361031583231,1414,1329,3,82,0
g361031583232,1065,997,0,68,0
g361031583233,2139,2012,25,86,16
g361031583234,2445,2136,57,0,252
g361031584011,1381,1205,0,127,25
g361031584021,2420,2078,6,245,29
g361031584022,468,427,0,31,8
g361031584023,1575,1361,0,158,25
g361031584031,1150,897,61,155,6
g361031584032,928,638,116,92,65
g361031584051,2039,1802,0,134,94
g361031584052,1119,926,0,169,0
g361031584053,1522,1361,0,77,74
g361031584071,1439,1296,4,139,0
g361031584072,1897,1594,0,284,0
g361031584073,940,918,0,22,0
g361031584074,1669,1519,0,80,0
g361031584081,2272,1939,0,282,0
g361031584082,1861,1739,0,91,0
g361031584091,1327,876,133,105,203
g361031584092,1703,1674,15,14,0
g361031584093,814,715,0,99,0
g361031584101,1540,1540,0,0,0
g361031584102,1078,1058,20,0,0
g361031584103,643,614,29,0,0
g361031585021,1804,1573,0,223,8
g361031585022,768,686,7,75,0
g361031585023,1217,1112,18,87,0
g361031585051,2847,2253,52,286,80
g361031585052,991,922,0,29,0
g361031585053,686,404,22,158,102
g361031585061,1893,1553,4,220,13
g361031585062,743,712,5,8,4
g361031585071,876,575,0,200,89
g361031585072,1164,862,26,155,60
g361031585073,1927,1461,24,298,44
g361031585081,1299,831,0,468,0
g361031585082,1709,1245,87,201,99
g361031585083,1464,1388,0,76,0
g361031585084,620,556,2,1,25
g361031585085,1289,1101,25,150,0
g361031585091,1291,1109,123,52,7
g361031585092,1535,918,80,490,38
g361031585093,2109,1287,49,623,145
g361031585101,2813,2384,0,286,23
g361031585102,1378,788,185,351,54
g361031585103,1558,1337,1,159,61
g361031585104,1510,1334,0,176,0
g361031585111,1665,1338,38,193,13
g361031585112,2824,2176,49,482,76
g361031585113,2410,1601,46,647,81
g361031585121,1891,1661,0,120,88
g361031585122,1590,1218,37,305,18
g361031586041,1489,1193,0,225,55
g361031586042,1035,942,4,89,0
g361031586043,2411,2003,31,256,121
g361031586051,2753,2132,128,255,166
g361031586052,2493,1848,76,395,87
g361031586061,1727,1651,16,60,0
g361031586062,1103,960,3,140,0
g361031586063,1974,1270,0,456,248
g361031586071,1599,1298,17,255,29
g361031586072,1387,964,94,264,65
g361031586081,983,794,16,149,19
g361031586082,1205,1019,0,76,110
g361031586083,1586,1295,2,134,143
g361031586091,1882,1344,28,364,99
g361031586092,1560,1514,0,34,12
g361031586093,1097,644,141,238,51
g361031587041,2143,1580,0,494,18
g361031587042,1044,901,0,61,0
g361031587043,1576,1331,59,131,55
g361031587044,2800,523,1044,1131,12
g361031587045,1259,1240,19,0,0
g361031587051,1433,236,713,349,0
g361031587052,1393,559,492,277,57
g361031587053,1092,52,662,310,16
g361031587071,1606,1267,36,212,54
g361031587081,599,459,114,12,0
g361031587082,1974,1329,235,123,229
g361031587083,1198,574,447,177,0
g361031587091,2188,1842,14,305,11
g361031587101,1537,992,412,28,16
g361031587102,799,743,0,36,0
g361031587103,1441,1180,0,259,2
g361031587104,40,5,0,0,35
g361031587111,1358,1193,22,50,71
g361031587112,1250,1063,47,68,72
g361031587113,2587,983,516,519,533
g361031587121,2006,1402,233,371,0
g361031587122,1725,1332,82,311,0
g361031587123,923,682,8,143,38
g361031587124,1316,1078,38,180,0
g361031587125,1747,857,132,758,0
g361031588021,2106,1925,0,158,23
g361031588022,1569,1518,0,51,0
g361031588023,927,914,0,0,7
g361031588031,1832,1249,187,374,0
g361031588032,1472,924,3,517,0
g361031588033,2695,2181,121,160,233
g361031588034,734,655,48,31,0
g361031588041,1686,1197,227,228,34
