GEOID,B03002_003M,B03002_004M,B03002_012M,B03002_006M
g361031461021,222,204,268,48
g361031461031,233,11,63,11
g361031461032,311,70,382,126
g361031461051,117,157,250,11
g361031461052,235,265,604,63
g361031461053,250,214,499,11
g361031461061,188,178,546,183
g361031461062,107,252,365,34
g361031462011,209,210,467,11
g361031462012,111,133,468,16
g361031462021,26,352,601,11
g361031462022,106,292,565,11
g361031462031,185,244,543,86
g361031462032,97,203,334,50
g361031462033,234,210,721,11
g361031462041,177,283,516,13
g361031462042,176,268,531,79
g361031462043,54,108,540,11
g361031462051,193,74,109,11
g361031462052,253,11,73,11
g361031462061,113,175,194,22
g361031462062,207,15,151,83
g361031463001,168,136,69,14
g361031463002,174,93,67,65
g361031464021,377,10,188,13
g361031464022,235,15,87,11
g361031464023,252,2,128,264
g361031464031,130,321,405,109
g361031464032,83,283,340,11
g361031464033,89,250,473,92
g361031464041,114,195,589,9
g361031464042,159,146,273,2
g361031465001,199,11,78,33
g361031465002,237,11,114,11
g361031465003,262,39,205,96
g361031465004,262,46,184,16
g361031466041,173,173,84,223
g361031466042,241,11,119,102
g361031466043,181,11,82,136
g361031466051,147,11,147,9
g361031466061,303,11,65,11
g361031466062,411,11,89,14
g361031466063,477,11,176,11
g361031466064,548,11,196,11
g361031466071,181,34,119,20
g361031466072,302,52,85,169
g361031466081,296,28,134,96
g361031466082,262,11,27,21
g361031466111,250,11,135,93
g361031466112,244,16,95,11
g361031466121,337,11,114,42
g361031466122,347,16,216,2
g361031466123,333,11,193,69
g361031466131,231,11,146,11
g361031466132,388,34,268,61
g361031466141,367,55,131,137
g361031466142,286,11,43,24
g361031466143,336,11,438,40
g361031466151,265,81,105,85
g361031466152,306,48,51,13
g361031466153,298,55,185,149
g361031467031,270,315,354,51
g361031467032,205,121,288,22
g361031467041,153,11,111,65
g361031467051,229,20,173,11
g361031467052,229,11,111,11
g361031467061,181,56,96,17
g361031467062,168,11,77,11
g361031468001,403,11,70,109
g361031468002,389,11,27,11
g361031468003,292,11,11,11
g361031468004,214,11,11,11
g361031469011,325,11,103,155
g361031469012,304,11,216,11
g361031469013,183,11,69,11
g361031469014,179,11,79,11
g361031469021,302,11,31,19
g361031469022,470,11,25,11
g361031469023,190,11,17,104
g361031470011,234,11,26,11
g361031470012,191,11,11,36
g361031470013,331,11,171,19
g361031470031,267,50,297,68
g361031470032,237,91,427,93
g361031470033,236,6,80,31
g361031470041,72,11,12,5
g361031471001,153,14,22,91
g361031471002,141,10,54,14
g361031471003,132,11,87,8
g361031472001,248,423,878,206
g361031472002,143,38,158,11
g361031472003,264,126,428,11
g361031472004,194,268,125,29
g361031472005,258,88,142,11
g361031473001,271,76,511,11
g361031473002,333,62,75,11
g361031473003,249,234,311,163
g361031473004,113,587,336,11
g361031473005,109,211,513,11
g361031473006,277,62,294,11
g361031474011,358,40,81,49
g361031474012,236,41,153,29
g361031474013,275,477,434,11
g361031474014,215,132,98,47
g361031474021,148,11,59,11
g361031474022,201,11,57,65
g361031474023,158,11,77,17
g361031475011,351,11,133,11
g361031475012,496,11,137,11
