GEOID,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M
g361031478043,312,11,13,11,36,14,21,313
g361031478044,196,17,38,19,11,72,11,226
g361031479011,313,89,15,62,30,40,78,309
g361031479012,159,33,31,72,11,78,18,148
g361031479013,338,137,40,12,153,70,122,315
g361031479021,183,88,11,11,22,100,43,123
g361031479022,345,13,11,27,48,12,25,357
g361031479023,364,14,30,11,11,203,139,370
g361031479024,234,19,55,11,11,57,11,244
g361031580011,138,16,11,4,9,4,26,134
g361031580012,152,7,16,11,4,26,11,151
g361031580013,147,11,19,11,11,11,11,147
g361031580014,225,13,11,11,11,46,11,226
g361031580015,239,7,11,9,11,11,11,238
g361031580021,274,22,11,11,11,54,11,279
g361031580022,236,11,11,11,43,80,11,223
g361031580023,422,133,34,28,52,94,11,365
g361031580024,423,11,152,11,11,11,44,391
g361031580025,233,49,11,11,31,11,11,242
g361031580026,328,11,11,11,22,125,11,319
g361031580061,406,30,22,29,11,120,23,398
g361031580062,419,132,21,53,11,11,11,430
g361031580063,362,196,27,11,11,25,35,348
g361031580064,191,49,11,11,11,11,11,190
g361031580071,11,11,11,11,11,11,11,11
g361031580072,46,11,11,17,11,11,11,52
g361031580073,13,11,11,11,11,11,11,13
g361031580074,11,11,11,11,11,11,11,11
g361031580091,195,3,11,47,4,8,11,199
g361031580092,187,8,26,38,7,44,11,195
g361031580101,274,11,20,66,11,11,11,286
g361031580102,264,34,11,11,11,11,11,249
g361031580103,167,23,11,11,11,11,11,173
g361031580111,254,8,15,26,47,152,11,260
g361031580112,297,23,304,11,25,11,11,291
g361031580113,228,19,25,50,31,39,37,221
g361031581021,410,15,64,135,28,68,22,434
g361031581022,416,21,32,131,25,11,41,423
g361031581031,425,306,31,64,123,98,11,378
g361031581032,344,11,20,47,11,86,11,366
g361031581041,320,55,11,165,15,69,11,350
g361031581042,303,117,15,11,17,178,143,277
g361031581043,400,11,89,11,11,11,11,398
g361031581071,265,33,47,28,63,41,11,264
g361031581072,302,214,11,60,35,13,15,350
g361031581081,187,87,195,8,35,61,11,216
g361031581101,377,48,50,37,11,79,73,383
g361031581102,361,120,42,94,19,79,11,400
g361031581111,249,25,101,11,44,11,21,249
g361031581112,224,31,45,11,15,124,11,214
g361031581121,325,228,22,19,112,212,47,364
g361031581122,407,148,126,37,56,190,11,404
g361031581141,230,51,80,112,102,143,141,271
g361031581151,493,6,11,123,31,227,6,523
g361031581152,642,103,69,11,11,11,11,618
g361031581153,424,37,11,11,41,11,11,424
g361031581161,219,122,41,15,24,8,11,221
g361031581162,173,9,102,4,18,15,11,131
g361031582021,637,11,55,11,11,540,67,367
g361031582022,796,172,615,23,94,173,11,519
g361031582023,522,135,38,41,33,38,16,470
g361031582024,390,19,11,11,11,56,11,385
g361031582025,506,30,62,6,37,246,180,527
g361031582031,142,6,45,11,47,25,72,139
g361031582051,182,11,58,11,11,11,57,175
g361031582052,172,11,11,25,12,35,11,180
g361031582061,263,85,11,12,11,139,62,176
g361031582062,233,77,72,25,92,3,21,222
g361031582063,272,45,20,25,190,14,49,240
g361031582071,162,42,9,3,4,11,11,153
g361031582072,306,11,11,24,24,11,35,301
g361031582073,139,59,14,13,14,48,14,109
g361031582074,248,2,51,40,2,16,46,240
g361031583041,389,11,46,44,137,12,11,406
g361031583042,632,654,13,7,9,61,11,415
